series_id,group,rmse_point,rmse_hurdle,mae_point,mae_hurdle,delta_raw,delta_relative
FOODS_2_184_WI_2_evaluation,candidate,1.9324272366419273,1.9074898689176458,1.5136606792608898,1.4608928248995827,0.024937367724281456,0.012904686526575941
FOODS_2_194_CA_3_evaluation,candidate,1.796864212245598,1.7386211277346924,1.485635710614068,1.3499824418908073,0.05824308451090565,0.032413737284086384
FOODS_2_198_TX_1_evaluation,candidate,1.2033700975382828,1.2396348060883964,0.9584992598919642,0.9103092891829354,-0.036264708550113545,-0.030135956198595715
FOODS_2_198_TX_3_evaluation,candidate,1.6232700347069333,1.6753161357012696,1.3581221430074601,1.366987033259301,-0.052046100994336264,-0.03206250339225458
FOODS_2_198_WI_2_evaluation,candidate,2.0720356788782692,2.0833042410054925,1.7657898281301772,1.7675605842045374,-0.01126856212722327,-0.0054384015883952785
FOODS_2_198_WI_3_evaluation,candidate,1.6635939398950164,1.6867703360076782,1.3660235360619568,1.3496824020431155,-0.023176396112661868,-0.013931522324567045
FOODS_2_201_CA_4_evaluation,candidate,1.4637764971816938,1.502678211890734,1.1099681783290136,1.1322552618526278,-0.03890171470904025,-0.026576266789322213
FOODS_2_212_CA_1_evaluation,candidate,1.8276938044670357,1.7941102809716476,1.5386953197774433,1.4797219719205583,0.03358352349538807,0.018374808413371618
FOODS_2_212_TX_1_evaluation,candidate,1.087695983622963,1.0523022140077878,0.8793105568204608,0.8484627604484558,0.03539376961517515,0.032540130834429914
FOODS_2_212_WI_2_evaluation,candidate,2.0775081988764414,2.0986622261780523,1.720667370728084,1.7476556286925362,-0.021154027301610867,-0.010182403762859464
FOODS_2_229_TX_3_evaluation,candidate,0.6948223279748137,0.651511408085235,0.4384296187864883,0.28090983469571384,0.04331091988957869,0.06233380555834506
FOODS_2_229_WI_2_evaluation,candidate,2.793584370801648,2.7342917566876,2.0787683345732235,1.6643263587639445,0.05929261411404818,0.02122456537692955
FOODS_2_233_WI_2_evaluation,candidate,6.063771496217391,5.313396641663709,4.497165532339187,4.044983375640142,0.7503748545536819,0.12374721821588582
FOODS_2_233_WI_3_evaluation,candidate,3.4491075794905663,3.3724582137623442,2.7054805415017262,2.6205626669384183,0.07664936572822212,0.022222955927499146
FOODS_2_240_TX_2_evaluation,candidate,2.326097140811686,2.2351156980247473,1.8336781124983514,1.4463852438188733,0.09098144278693887,0.03911334621012049
FOODS_2_240_TX_3_evaluation,candidate,1.1598602443245856,1.0343408832148664,0.9813970451553663,0.7206872673261733,0.12551936110971917,0.10821938395070357
FOODS_2_240_WI_3_evaluation,candidate,2.395973434216601,2.515851832549291,1.9984811430885678,2.0521477347328547,-0.11987839833268987,-0.050033275252856
FOODS_2_241_TX_2_evaluation,candidate,2.4657265289698267,2.599828566192792,1.9481801021666754,2.06790273246311,-0.1341020372229651,-0.05438641943759778
FOODS_2_241_WI_1_evaluation,candidate,2.3538900133449907,2.3267973728735236,1.7639916170211065,1.8919479222524733,0.02709264047146709,0.01150973083613501
FOODS_2_241_WI_2_evaluation,candidate,2.879215120393573,2.8992734438904577,2.0539404238973344,2.1467995813914706,-0.020058323496884523,-0.006966594248137547
FOODS_2_241_WI_3_evaluation,candidate,2.106967977807821,2.1304795307735707,1.6461951448803855,1.6847098867098491,-0.023511552965749694,-0.01115895125763236
FOODS_2_244_TX_1_evaluation,candidate,1.207194644345873,1.1190688428787101,1.0136854063187326,0.8430603182031995,0.08812580146716287,0.07300049074928962
FOODS_2_244_TX_3_evaluation,candidate,1.1666883464364393,1.1698225316831918,0.9652499074027652,0.9338226105485644,-0.0031341852467525744,-0.002686394576859968
FOODS_2_244_WI_1_evaluation,candidate,1.282876535524865,1.2590005841287568,1.0368872362942922,0.963909890680086,0.023875951396108208,0.018611262062206015
