dataset,series_id,regime,rho_interval_abs_train,relative_gain,delta_rmse,rmse_point,rmse_hurdle,ADI_selection,CV2_selection,zero_ratio_train,n_positive_train,n_positive_test
m5,FOODS_1_120_WI_1_evaluation,lumpy,0.1097179922557922,-0.0038757075479146893,-0.0052803292149719,1.3624168360724127,1.3676971652873846,1.8199004975124378,0.611941805482153,0.3204868154158215,1005,17
m5,FOODS_1_125_TX_3_evaluation,intermittent,0.0362903330882056,-0.08634406581974131,-0.0740598430528569,0.8577293917044637,0.9317892347573208,7.375,0.4723137751122029,0.6979293544457978,248,46
m5,FOODS_1_128_TX_2_evaluation,lumpy,0.0224701323372831,0.0490260468968153,0.0459494090580941,0.9372448314016308,0.8912954223435366,3.891489361702128,1.3712356624667845,0.7420417124039517,470,22
m5,FOODS_1_131_TX_1_evaluation,lumpy,0.2827637897738,0.10379926927883176,0.0607109981933884,0.5848884931001095,0.524177494906721,14.869918699186991,0.7833461051929496,0.6985294117647058,123,11
m5,FOODS_1_132_TX_2_evaluation,lumpy,0.0522297070834005,0.02824985338578996,0.0242943558005818,0.8599816596854329,0.8356873038848511,3.530888030888031,0.5842617846505623,0.5602716468590832,518,31
m5,FOODS_1_133_CA_3_evaluation,lumpy,0.1052669994976568,0.021999032813317592,0.0257376448536783,1.1699443821956326,1.1442067373419542,3.1264957264957265,0.9925328685705018,0.6801530891197376,585,44
m5,FOODS_1_139_CA_2_evaluation,lumpy,0.0204303675048356,-0.002898479608393023,-0.0105640139846188,3.64467424715667,3.655238261141289,2.2036144578313253,0.5127634431152286,0.2110266159695817,830,69
m5,FOODS_1_145_CA_3_evaluation,lumpy,0.0177647568874233,-0.01980578994430447,-0.0404635388115046,2.043015649731288,2.083479188542793,2.7586726998491704,0.5551304163915884,0.2998944033790918,663,63
m5,FOODS_1_153_TX_3_evaluation,lumpy,0.0037881995341231,0.02721570638244786,0.0257427334349765,0.9458778351451748,0.9201351017101982,3.3074141048824592,0.492305202938697,0.697648988518316,553,37
m5,FOODS_1_161_CA_1_evaluation,erratic,0.366618168846623,-0.011893673363375839,-0.1089230064340771,9.1580627032758,9.266985709709878,1.0683411214953271,0.5206798793891199,0.0639693821760524,1712,74
m5,FOODS_1_161_CA_4_evaluation,erratic,0.5003610108303228,0.11054958148841922,0.5036203616114019,4.555606225105062,4.05198586349366,1.086104513064133,0.5101900964843006,0.0792782941498086,1684,52
m5,FOODS_1_161_TX_1_evaluation,lumpy,0.0850205312410198,0.005528928019951683,0.0099195250818027,1.7941136231123127,1.78419409803051,2.0390189520624302,0.537460299149929,0.5095680699835976,897,48
m5,FOODS_1_161_WI_1_evaluation,erratic,0.010096823458685,0.07076639934969581,0.3682399552682733,5.203598864039932,4.835358908771658,1.0602898550724638,0.4927420063070029,0.0568616730453799,1725,71
m5,FOODS_1_161_WI_2_evaluation,erratic,0.1250298526333547,-0.021471044489432416,-0.0706874515796984,3.2922223049972827,3.362909756576981,1.1438398999374608,0.5657330033354677,0.1257517769272826,1599,63
m5,FOODS_1_161_WI_3_evaluation,erratic,0.0940377273748041,-0.016321841027824583,-0.0656313312406178,4.021074039915785,4.086705371156403,1.245064669843431,0.6493970292184178,0.1968288682340076,1469,81
